topic,question,A,B,C,D,correct
.NET Programming using C#,Which are access modifiers?,public,private,protected,secure,"A,B,C"
Python Programming,Which are Python data types?,list,tuple,dictionary,field,"A,B,C"
Python Programming,Which are Python keywords?,def,for,lambda,function,"A,B,C"
Python Programming,Which are Python libraries?,NumPy,Pandas,Requests,Windows,"A,B,C"
Python Programming,Which are loop types?,for,while,repeat,do,"A,B"
Web Design,Which are HTML tags?,<p>,<a>,<body>,<link>,"A,B,C,D"
Web Design,Which are CSS properties?,color,margin,padding,divide,"A,B,C"
Web Design,Which are web languages?,HTML,CSS,JavaScript,C++,"A,B,C"
Programming,Which of the following are programming languages?,Python,HTML,Java,C,"A,C,D"
Networking,Which devices are used to connect networks?,Router,Switch,Modem,Projector,"A,B,C"
Cybersecurity,Which are common types of malware?,Virus,Worm,Trojan,Firewall,"A,B,C"
Databases,Which commands are used to retrieve data?,SELECT,SHOW,PRINT,DISPLAY,"A,B"
Hardware,Which are computer output devices?,Monitor,Printer,Speaker,Microphone,"A,B,C"
Software,Which are examples of application software?,Word,Excel,Photoshop,BIOS,"A,B,C"
AI,Which are types of machine learning?,Supervised,Unsupervised,Reinforcement,Procedural,"A,B,C"
Programming,Which of the following are valid data types in Python?,int,string,float,list,"A,B,C,D"
Networking,Which are valid IP protocols?,TCP,UDP,ICMP,HDMI,"A,B,C"
Cybersecurity,Which help strengthen account security?,Strong passwords,2FA,Firewalls,Short passwords,"A,B,C"
Hardware,Which of these store data permanently?,SSD,HDD,Flash Drive,RAM,"A,B,C"
Databases,Which are types of SQL joins?,INNER,LEFT,RIGHT,CROSS,"A,B,C,D"
Software,Which are operating systems?,Windows,macOS,Linux,Google Docs,"A,B,C"
AI,Which are real-world AI applications?,Chatbots,Image Recognition,Speech-to-Text,File Compression,"A,B,C"
Programming,Which are conditional statements?,if,else,switch,define,"A,B,C"
Networking,Which are types of cables?,Twisted Pair,Coaxial,Fiber Optic,HDMI,"A,B,C"
Cybersecurity,Which are examples of social engineering?,Phishing,Pretexting,Baiting,Encryption,"A,B,C"
Hardware,Which are computer input devices?,Keyboard,Mouse,Scanner,Speaker,"A,B,C"
Software,Which are examples of browsers?,Chrome,Firefox,Edge,Paint,"A,B,C"
AI,Which are Python libraries for AI?,TensorFlow,PyTorch,Scikit-learn,Numpy,"A,B,C,D"
Programming,Which of these are loop structures?,for,while,do-while,include,"A,B,C"
Networking,Which are wireless technologies?,Wi-Fi,Bluetooth,NFC,VGA,"A,B,C"
Cybersecurity,Which protect network traffic?,VPN,Firewall,Proxy,Word Processor,"A,B,C"
Hardware,Which components are inside a CPU?,ALU,CU,Registers,RAM,"A,B,C"
Databases,Which are SQL aggregate functions?,SUM,AVG,COUNT,CHAR,"A,B,C"
Software,Which of these are IDEs?,VS Code,PyCharm,Eclipse,Spotify,"A,B,C"
AI,Which are popular programming languages for AI?,Python,R,Java,C++,"A,B,C,D"
Programming,Which of the following are arithmetic operators?,+,-,*,if,"A,B,C"
Networking,Which are valid network topologies?,Star,Bus,Ring,Flat,"A,B,C"
Cybersecurity,Which are types of hackers?,Black Hat,White Hat,Gray Hat,Script Hat,"A,B,C"
Hardware,Which are examples of computer memory?,RAM,ROM,Cache,Hard Disk,"A,B,C,D"
Software,Which are examples of system software?,Operating System,Driver,Utility,Spreadsheet,"A,B,C"
AI,Which are areas of artificial intelligence?,Machine Learning,NLP,Computer Vision,Cloud Storage,"A,B,C"
Programming,Which of these define a function in Python?,def,lambda,class,while,"A,B"
Networking,Which are valid port numbers?,21,80,443,8080,"A,B,C,D"
Cybersecurity,Which of these use encryption?,VPN,HTTPS,SSH,Telnet,"A,B,C"
Hardware,Which are removable storage devices?,USB Drive,SD Card,External HDD,CPU,"A,B,C"
Databases,Which are relational database systems?,MySQL,Oracle,PostgreSQL,JSON,"A,B,C"
Software,Which are examples of cloud platforms?,AWS,Azure,Google Cloud,Excel,"A,B,C"
AI,Which are AI capabilities?,Learning,Reasoning,Perception,Printing,"A,B,C"
Programming,Which are valid variable names in Python?,age,_count,2name,totalValue,"A,B,D"
Networking,Which are examples of network security protocols?,SSL,TLS,IPsec,SMTP,"A,B,C"
Cybersecurity,Which are examples of phishing attempts?,Fake email links,Impersonation,Pop-up ads,Strong passwords,"A,B,C"
Hardware,Which are parts of the motherboard?,CPU Socket,RAM Slots,Power Connectors,Monitor,"A,B,C"
Databases,Which are non-relational databases?,MongoDB,Cassandra,Redis,SQLite,"A,B,C"
Software,Which are examples of productivity tools?,Word,Excel,PowerPoint,Notepad++,"A,B,C"
AI,Which are neural network components?,Input Layer,Hidden Layer,Output Layer,Secondary Memory,"A,B,C"
Programming,Which of these are object-oriented concepts?,Encapsulation,Inheritance,Polymorphism,Iteration,"A,B,C"
Networking,Which are connectionless protocols?,UDP,ICMP,HTTP,TCP,"A,B"
