topic,question,A,B,C,D,correct
Networking,Which device connects multiple networks together?,Switch,Router,Hub,Repeater,B
Networking,Which topology connects all devices to a central hub?,Star,Bus,Ring,Mesh,A
Networking,Which protocol is used to send emails?,POP3,SMTP,IMAP,HTTP,B
Networking,Which IP version uses 128-bit addresses?,IPv4,IPv6,IPX,TCP,B
Networking,Which layer in OSI model handles routing?,Transport,Network,Session,Physical,B
Networking,Which device operates at the data link layer?,Hub,Switch,Router,Bridge,B
Networking,Which protocol is used for file transfer?,FTP,HTTP,TCP,SMTP,A
Robotics,What is used to sense the environment?,Actuator,Sensor,Battery,Motor,B
Robotics,Which component moves parts of a robot?,Sensor,Actuator,Transistor,Relay,B
Robotics,Which robot part processes input data?,Controller,Sensor,Actuator,Relay,A
Robotics,What type of robot mimics human actions?,Drone,Android,Automaton,Servo,B
Robotics,Which programming language is popular in robotics?,HTML,Python,PHP,Swift,B
Robotics,What is the purpose of a servo motor?,Measure distance,Control movement,Process data,Store energy,B
Robotics,Which robot uses wheels for motion?,Humanoid,Mobile,Arm,Industrial,B
Android Apps Development (IoT),Which protocol is common in IoT?,HTTP,MQTT,SMTP,FTP,B
Android Apps Development (IoT),Which is a microcontroller board for IoT?,Arduino,CPU,GPU,Monitor,A
Android Apps Development (IoT),Which wireless tech is used in IoT?,Wi-Fi,NFC,Bluetooth,Zigbee,D
Android Apps Development (IoT),What does IoT stand for?,Internet of Tasks,Internet of Things,Interface of Things,Internet of Technology,B
Android Apps Development (IoT),Which cloud platform supports IoT?,Google Cloud,Android Studio,Photoshop,WordPress,A
Android Apps Development (Productivity),Which language is mainly used in Android?,C#,Java,Python,C++,B
Android Apps Development (Productivity),Which tool is used to design Android UI?,Figma,Android Studio,GitHub,Blender,B
Android Apps Development (Productivity),What is APK?,Android Package,Application Key,Android Kit,App Kernel,A
Android Apps Development (Game Development),Which engine is popular for Android games?,Unreal,Unity,Godot,CryEngine,B
Android Apps Development (Game Development),Which file format stores Android resources?,.java,.xml,.apk,.dex,B
Android Apps Development (Game Development),What library is used for 2D graphics?,OpenGL,Canvas,Render,Bitmap,B
Database Programming,Which SQL command retrieves data?,INSERT,DELETE,SELECT,UPDATE,C
Database Programming,Which command adds data?,INSERT,ADD,APPEND,INPUT,A
Database Programming,Which command removes data?,DELETE,DROP,ERASE,REMOVE,A
Database Programming,Which key uniquely identifies rows?,Primary,Foreign,Alternate,Composite,A
Database Programming,Which SQL clause filters results?,GROUP BY,ORDER BY,WHERE,HAVING,C
Database Programming,Which is a relational database?,MongoDB,MySQL,Neo4j,Redis,B
Database Programming,Which symbol represents a wildcard?,%,*,#,?,A
Java Programming,Which keyword is used for inheritance?,inherit,extends,super,base,B
Java Programming,What is JVM?,Java Virtual Machine,Java Version Manager,Just Virtual Module,Java Value Manager,A
Java Programming,Which method starts Java programs?,begin(),start(),main(),init(),C
Java Programming,What does OOP stand for?,Object Oriented Programming,Online Open Program,Open Object Process,Overload Operation Program,A
Java Programming,Which keyword creates objects?,this,new,super,alloc,B
Java Programming,Which keyword prevents inheritance?,lock,final,private,const,B
Java Programming,Which access specifier makes members visible to all?,public,private,protected,internal,A
.NET Programming using C#,Which symbol denotes single-line comments?,//,#,%,--,A
.NET Programming using C#,Which keyword defines a class?,define,class,new,object,B
.NET Programming using C#,Which method is entry point?,run(),main(),Start(),Execute(),B
.NET Programming using C#,What is the extension of C# files?,.c,.cpp,.java,.cs,D
.NET Programming using C#,Which keyword is used for inheritance?,extends,base,inherit,:,A
.NET Programming using C#,Which framework runs C# code?,JVM,CLR,SDK,API,B
.NET Programming using C#,Which type represents whole numbers?,float,string,int,double,C
Python Programming,Which keyword defines a function?,function,def,lambda,define,B
Python Programming,Which data type is immutable?,List,Set,Dictionary,Tuple,D
Python Programming,What does IDE stand for?,Integrated Development Environment,Internal Data Engine,Input Data Executor,Independent Developer Extension,A
Python Programming,Which library is used for data analysis?,NumPy,Matplotlib,Pandas,Requests,C
Python Programming,Which operator is used for exponentiation?,*,**,^,//,B
Python Programming,Which keyword handles exceptions?,throw,try,except,handle,C
Python Programming,Which keyword creates a loop?,for,repeat,loop,iterate,A
Web Design,Which language is used for structuring web pages?,HTML,CSS,JavaScript,Python,A
Web Design,Which tag creates a hyperlink?,<p>,<a>,<h1>,<link>,B
Web Design,Which language styles HTML?,CSS,PHP,JavaScript,HTML,A
Web Design,Which tag inserts an image?,<img>,<src>,<pic>,<photo>,A
Web Design,Which property changes text color?,color,text-color,font-color,background-color,A
Web Design,Which HTML version introduced semantic tags?,HTML4,HTML5,XHTML,HTML3,B
Web Design,Which tag creates a table row?,<td>,<tr>,<table>,<th>,B
IT Quiz Bee,Who is the father of computers?,Einstein,Charles Babbage,Alan Turing,Bill Gates,B
IT Quiz Bee,Which company developed Windows?,Microsoft,Apple,IBM,Google,A
IT Quiz Bee,Which unit measures data size?,Bit,Pixel,Second,Volt,A
IT Quiz Bee,Which of the following is an input device?,Monitor,Printer,Keyboard,Speaker,C
IT Quiz Bee,What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Personal Unit,Central Program Utility,B
IT Quiz Bee,Which device stores permanent data?,RAM,ROM,Cache,Register,B
IT Quiz Bee,What does AI stand for?,Artificial Interface,Artificial Intelligence,Automated Intelligence,Analog Interface,B
E-Sports (Mobile Legends),Which hero role soaks up damage?,Mage,Tank,Marksman,Assassin,B
E-Sports (Mobile Legends),Which objective grants gold to all teammates?,Turtle,Lord,Turret,Minion,A
E-Sports (Mobile Legends),Which lane is usually for marksman?,Mid,Top,Gold,EXP,C
E-Sports (Mobile Legends),What does MM stand for?,Main Mage,Main Marksman,Matchmaking,Mobile Mode,C
E-Sports (Mobile Legends),Which item provides lifesteal?,Blade of Despair,Hunter Strike,Haas's Claws,Immortality,C
E-Sports (Mobile Legends),What color is the buff from Lithowanderer?,Blue,Red,Orange,Purple,A
E-Sports (Mobile Legends),What does MLBB stands for?,Mobile Legends Bang Bang,Machine Learning Big Boost,My Little Best Bro,Machine Language Bandwidth Battle,A
E-Sports (CODM),What mode involves planting bombs?,Search and Destroy,Domination,Frontline,Hardpoint,A
E-Sports (CODM),Which gun is an assault rifle?,DLQ33,AK47,KRM,MW11,B
E-Sports (CODM),Which scorestreak calls a helicopter?,UAV,VTOL,Counter UAV,Shield,B
E-Sports (CODM),What is the main objective of Domination?,Hold points,Plant bombs,Kill enemies,Defend flag,A
E-Sports (CODM),Which perk hides you from UAV?,Ghost,Alert,Hardline,Cold Blooded,A
E-Sports (CODM),What map is snowy?,Nuketown,Crash,Icebreaker,Firing Range,C
E-Sports (CODM),Which button reloads weapon by default?,R,F,E,T,A
