topic,question,A,B,C,D,correct
Networking,Which device connects multiple networks together?,Switch,Router,Hub,Repeater,B
Networking,Which topology connects all devices to a central hub?,Star,Bus,Ring,Mesh,A
Networking,Which protocol is used to send emails?,POP3,SMTP,IMAP,HTTP,B
Networking,Which IP version uses 128-bit addresses?,IPv4,IPv6,IPX,TCP,B
Networking,Which layer in OSI model handles routing?,Transport,Network,Session,Physical,B
Networking,Which device operates at the data link layer?,Hub,Switch,Router,Bridge,B
Networking,Which protocol is used for file transfer?,FTP,HTTP,TCP,SMTP,A
Robotics,What is used to sense the environment?,Actuator,Sensor,Battery,Motor,B
Robotics,Which component moves parts of a robot?,Sensor,Actuator,Transistor,Relay,B
Robotics,Which robot part processes input data?,Controller,Sensor,Actuator,Relay,A
Robotics,What type of robot mimics human actions?,Drone,Android,Automaton,Servo,B
Robotics,Which programming language is popular in robotics?,HTML,Python,PHP,Swift,B
Robotics,What is the purpose of a servo motor?,Measure distance,Control movement,Process data,Store energy,B
Robotics,Which robot uses wheels for motion?,Humanoid,Mobile,Arm,Industrial,B
Android Apps Development (IoT),Which protocol is common in IoT?,HTTP,MQTT,SMTP,FTP,B
Android Apps Development (IoT),Which is a microcontroller board for IoT?,Arduino,CPU,GPU,Monitor,A
Android Apps Development (IoT),Which wireless tech is used in IoT?,Wi-Fi,NFC,Bluetooth,Zigbee,D
Android Apps Development (IoT),What does IoT stand for?,Internet of Tasks,Internet of Things,Interface of Things,Internet of Technology,B
Android Apps Development (IoT),Which cloud platform supports IoT?,Google Cloud,Android Studio,Photoshop,WordPress,A
Android Apps Development (Productivity),Which language is mainly used in Android?,C#,Java,Python,C++,B
Android Apps Development (Productivity),Which tool is used to design Android UI?,Figma,Android Studio,GitHub,Blender,B
Android Apps Development (Productivity),What is APK?,Android Package,Application Key,Android Kit,App Kernel,A
Android Apps Development (Game Development),Which engine is popular for Android games?,Unreal,Unity,Godot,CryEngine,B
Android Apps Development (Game Development),Which file format stores Android resources?,.java,.xml,.apk,.dex,B
Android Apps Development (Game Development),What library is used for 2D graphics?,OpenGL,Canvas,Render,Bitmap,B
Database Programming,Which SQL command retrieves data?,INSERT,DELETE,SELECT,UPDATE,C
Database Programming,Which command adds data?,INSERT,ADD,APPEND,INPUT,A
Database Programming,Which command removes data?,DELETE,DROP,ERASE,REMOVE,A
Database Programming,Which key uniquely identifies rows?,Primary,Foreign,Alternate,Composite,A
Database Programming,Which SQL clause filters results?,GROUP BY,ORDER BY,WHERE,HAVING,C
Database Programming,Which is a relational database?,MongoDB,MySQL,Neo4j,Redis,B
Database Programming,Which symbol represents a wildcard?,%,*,#,?,A
Java Programming,Which keyword is used for inheritance?,inherit,extends,super,base,B
Java Programming,What is JVM?,Java Virtual Machine,Java Version Manager,Just Virtual Module,Java Value Manager,A
Java Programming,Which method starts Java programs?,begin(),start(),main(),init(),C
Java Programming,What does OOP stand for?,Object Oriented Programming,Online Open Program,Open Object Process,Overload Operation Program,A
Java Programming,Which keyword creates objects?,this,new,super,alloc,B
Java Programming,Which keyword prevents inheritance?,lock,final,private,const,B
Java Programming,Which access specifier makes members visible to all?,public,private,protected,internal,A
.NET Programming using C#,Which symbol denotes single-line comments?,//,#,%,--,A
.NET Programming using C#,Which keyword defines a class?,define,class,new,object,B
.NET Programming using C#,Which method is entry point?,run(),main(),Start(),Execute(),B
.NET Programming using C#,What is the extension of C# files?,.c,.cpp,.java,.cs,D
.NET Programming using C#,Which keyword is used for inheritance?,extends,base,inherit,:,A
.NET Programming using C#,Which framework runs C# code?,JVM,CLR,SDK,API,B
.NET Programming using C#,Which type represents whole numbers?,float,string,int,double,C
Python Programming,Which keyword defines a function?,function,def,lambda,define,B
Python Programming,Which data type is immutable?,List,Set,Dictionary,Tuple,D
Python Programming,What does IDE stand for?,Integrated Development Environment,Internal Data Engine,Input Data Executor,Independent Developer Extension,A
Python Programming,Which library is used for data analysis?,NumPy,Matplotlib,Pandas,Requests,C
Python Programming,Which operator is used for exponentiation?,*,**,^,//,B
Python Programming,Which keyword handles exceptions?,throw,try,except,handle,C
Python Programming,Which keyword creates a loop?,for,repeat,loop,iterate,A
Web Design,Which language is used for structuring web pages?,HTML,CSS,JavaScript,Python,A
Web Design,Which tag creates a hyperlink?,<p>,<a>,<h1>,<link>,B
Web Design,Which language styles HTML?,CSS,PHP,JavaScript,HTML,A
Web Design,Which tag inserts an image?,<img>,<src>,<pic>,<photo>,A
Web Design,Which property changes text color?,color,text-color,font-color,background-color,A
Web Design,Which HTML version introduced semantic tags?,HTML4,HTML5,XHTML,HTML3,B
Web Design,Which tag creates a table row?,<td>,<tr>,<table>,<th>,B
IT Quiz Bee,Who is the father of computers?,Einstein,Charles Babbage,Alan Turing,Bill Gates,B
IT Quiz Bee,Which company developed Windows?,Microsoft,Apple,IBM,Google,A
IT Quiz Bee,Which unit measures data size?,Bit,Pixel,Second,Volt,A
IT Quiz Bee,Which of the following is an input device?,Monitor,Printer,Keyboard,Speaker,C
IT Quiz Bee,What does CPU stand for?,Central Process Unit,Central Processing Unit,Computer Personal Unit,Central Program Utility,B
IT Quiz Bee,Which device stores permanent data?,RAM,ROM,Cache,Register,B
IT Quiz Bee,What does AI stand for?,Artificial Interface,Artificial Intelligence,Automated Intelligence,Analog Interface,B
E-Sports (Mobile Legends),Which hero role soaks up damage?,Mage,Tank,Marksman,Assassin,B
E-Sports (Mobile Legends),Which objective grants gold to all teammates?,Turtle,Lord,Turret,Minion,A
E-Sports (Mobile Legends),Which lane is usually for marksman?,Mid,Top,Gold,EXP,C
E-Sports (Mobile Legends),What does MM stand for?,Main Mage,Main Marksman,Matchmaking,Mobile Mode,C
E-Sports (Mobile Legends),Which item provides lifesteal?,Blade of Despair,Hunter Strike,Haas's Claws,Immortality,C
E-Sports (Mobile Legends),What color is the buff from Lithowanderer?,Blue,Red,Orange,Purple,A
E-Sports (Mobile Legends),What does MLBB stands for?,Mobile Legends Bang Bang,Machine Learning Big Boost,My Little Best Bro,Machine Language Bandwidth Battle,A
E-Sports (CODM),What mode involves planting bombs?,Search and Destroy,Domination,Frontline,Hardpoint,A
E-Sports (CODM),Which gun is an assault rifle?,DLQ33,AK47,KRM,MW11,B
E-Sports (CODM),Which scorestreak calls a helicopter?,UAV,VTOL,Counter UAV,Shield,B
E-Sports (CODM),What is the main objective of Domination?,Hold points,Plant bombs,Kill enemies,Defend flag,A
E-Sports (CODM),Which perk hides you from UAV?,Ghost,Alert,Hardline,Cold Blooded,A
E-Sports (CODM),What map is snowy?,Nuketown,Crash,Icebreaker,Firing Range,C
E-Sports (CODM),Which button reloads weapon by default?,R,F,E,T,A
Cybersecurity,What does VPN stand for?,Virtual Private Network,Very Private Network,Virtual Public Network,Verified Private Network,A
Cybersecurity,Which port does HTTPS use by default?,80,443,8080,22,B
Cybersecurity,What type of attack floods a network with traffic?,Phishing,DDoS,SQL Injection,XSS,B
Cybersecurity,Which encryption standard is most secure?,DES,3DES,AES,ROT13,C
Cybersecurity,What is the primary purpose of a firewall?,Encrypt data,Block unauthorized access,Store passwords,Scan for viruses,B
Cybersecurity,Which authentication method is most secure?,Password only,Two-factor authentication,Security questions,PIN code,B
Cybersecurity,What does SSL stand for?,Secure Socket Layer,System Security Layer,Safe Socket Link,Secure System Layer,A
Cybersecurity,Which attack involves fake emails?,DDoS,Phishing,Brute Force,Man-in-the-Middle,B
Cybersecurity,What is malware that encrypts files for ransom?,Trojan,Worm,Ransomware,Adware,C
Cybersecurity,Which protocol provides secure remote access?,Telnet,FTP,SSH,HTTP,C
Cybersecurity,What is the practice of testing system security?,Hacking,Penetration Testing,Phishing,Social Engineering,B
Cybersecurity,Which hash algorithm is most secure?,MD5,SHA-1,SHA-256,CRC32,C
Cybersecurity,What type of malware disguises itself as legitimate software?,Virus,Worm,Trojan,Spyware,C
Cybersecurity,Which layer of OSI model does firewall operate?,Physical,Data Link,Network,Application,C
Cybersecurity,What is the default SSH port?,21,22,23,80,B
Cybersecurity,Which attack intercepts communication between two parties?,XSS,CSRF,Man-in-the-Middle,SQL Injection,C
Cybersecurity,What does IDS stand for?,Internet Detection System,Intrusion Detection System,Internal Defense System,Internet Defense Service,B
Cybersecurity,Which protocol is used for secure email?,SMTP,POP3,IMAP,S/MIME,D
Cybersecurity,What is zero-day vulnerability?,Patched vulnerability,Unknown vulnerability,Old vulnerability,Harmless vulnerability,B
Cybersecurity,Which tool is used for network packet analysis?,Nmap,Wireshark,Metasploit,Burp Suite,B
Cybersecurity,What type of attack injects malicious SQL code?,XSS,CSRF,SQL Injection,Buffer Overflow,C
Cybersecurity,Which security principle limits user access to minimum necessary?,Defense in Depth,Least Privilege,Security by Obscurity,Fail-Safe,B
Cybersecurity,What does CIA triad stand for in security?,Central Intelligence Agency,Confidentiality Integrity Availability,Computer Internet Access,Certified Information Auditor,B
Cybersecurity,Which attack exploits website vulnerabilities to inject scripts?,SQL Injection,XSS,CSRF,DDoS,B
Cybersecurity,What is the purpose of a honeypot?,Store passwords,Trap attackers,Encrypt data,Block traffic,B
Cybersecurity,Which protocol uses port 21?,SSH,FTP,HTTP,SMTP,B
Cybersecurity,What type of backup stores only changed data?,Full,Incremental,Differential,Mirror,B
Cybersecurity,Which cryptography uses same key for encryption and decryption?,Symmetric,Asymmetric,Hybrid,Quantum,A
Cybersecurity,What is the main purpose of antivirus software?,Encrypt files,Detect malware,Create backups,Manage passwords,B
Cybersecurity,Which attack tricks users into clicking hidden elements?,Clickjacking,Phishing,Spoofing,Sniffing,A
Cybersecurity,What does SIEM stand for?,Security Information Event Management,System Internet Email Manager,Secure Internet Entry Monitor,Security Internal Event Monitoring,A
Cybersecurity,Which is NOT a type of biometric authentication?,Fingerprint,Iris scan,Password,Voice recognition,C
Cybersecurity,What is the purpose of digital signature?,Encrypt data,Verify authenticity,Store passwords,Block malware,B
Cybersecurity,Which attack overwhelms server with login attempts?,DDoS,Brute Force,Phishing,Spoofing,B
Cybersecurity,What does HTTPS use to encrypt data?,FTP,SSL/TLS,SSH,IPSec,B
Cybersecurity,Which security model uses multiple layers of defense?,Single Layer,Defense in Depth,Perimeter Only,Zero Trust,B
Cybersecurity,What type of malware monitors user activity?,Virus,Trojan,Spyware,Worm,C
Cybersecurity,Which port does DNS use?,53,80,443,8080,A
Cybersecurity,What is social engineering?,Software vulnerability,Manipulating people,Network attack,Encryption method,B
Cybersecurity,Which protocol provides end-to-end encryption?,HTTP,FTP,IPSec,Telnet,C
Cybersecurity,What is the purpose of access control list (ACL)?,Encrypt data,Define permissions,Store logs,Scan ports,B
Cybersecurity,Which attack forges requests from authenticated users?,XSS,CSRF,SQLi,DDoS,B
Cybersecurity,What does NAT stand for?,Network Address Translation,New Access Technology,National Access Terminal,Network Authentication Token,A
Cybersecurity,Which is a secure password practice?,Using common words,Reusing passwords,Using mixed characters,Sharing passwords,C
Cybersecurity,What is the purpose of security audit?,Delete files,Assess security posture,Install software,Create backups,B
Cybersecurity,Which protocol operates on port 25?,HTTP,SMTP,FTP,SSH,B
Cybersecurity,What type of attack exploits buffer memory?,Overflow,Phishing,Spoofing,Sniffing,A
Cybersecurity,Which security certificate verifies website identity?,Cookie,SSL Certificate,API Key,Session Token,B
Cybersecurity,What is the main goal of encryption?,Speed up data,Protect confidentiality,Compress files,Delete data,B
Digital Electronics,Which gate outputs 1 only when all inputs are 1?,OR,AND,NAND,XOR,B
Digital Electronics,What is the binary equivalent of decimal 15?,1111,1011,1110,1001,A
Digital Electronics,Which flip-flop has toggle capability?,SR,D,T,JK,C
Digital Electronics,How many bits are in a nibble?,2,4,8,16,B
Digital Electronics,What is the output of NOT gate with input 1?,0,1,X,Z,A
Digital Electronics,Which number system uses base 16?,Binary,Octal,Decimal,Hexadecimal,D
Digital Electronics,What does ALU stand for?,Arithmetic Logic Unit,Automatic Load Unit,Advanced Logic Unit,Arithmetic Linear Unit,A
Digital Electronics,Which gate is universal gate?,AND,OR,NAND,XOR,C
Digital Electronics,What is the hexadecimal for binary 1010?,8,A,B,C,B
Digital Electronics,Which type of logic family is fastest?,TTL,CMOS,ECL,RTL,C
Digital Electronics,What is a multiplexer used for?,Decode signals,Select inputs,Store data,Amplify signals,B
Digital Electronics,How many input combinations for 3-input gate?,4,6,8,16,C
Digital Electronics,Which register shifts data serially?,Parallel,Shift,Counter,Buffer,B
Digital Electronics,What is De Morgan's first theorem?,NOT(A+B) = A'·B',NOT(A·B) = A'+B',A+B = A·B,A·B = A+B,B
Digital Electronics,Which device stores one bit?,Register,Flip-flop,Multiplexer,Decoder,B
Digital Electronics,What is octal equivalent of decimal 8?,7,10,11,12,B
Digital Electronics,Which circuit converts analog to digital?,ADC,DAC,Amplifier,Oscillator,A
Digital Electronics,What is the Fan-out of a gate?,Input capacity,Output capacity,Speed rating,Power consumption,B
Digital Electronics,Which memory is volatile?,ROM,RAM,PROM,EPROM,B
Digital Electronics,What does BCD stand for?,Binary Coded Decimal,Basic Computer Data,Binary Code Design,Byte Coded Data,A
Digital Electronics,Which gate performs addition without carry?,Half Adder,Full Adder,Subtractor,Comparator,A
Digital Electronics,What is the Boolean expression for XOR?,A+B,A·B,A⊕B,A',C
Digital Electronics,Which counter counts in reverse order?,Up Counter,Down Counter,Ring Counter,Johnson Counter,B
Digital Electronics,What is propagation delay?,Setup time,Signal travel time,Hold time,Clock period,B
Digital Electronics,Which device decodes binary to decimal?,Encoder,Decoder,Multiplexer,Demultiplexer,B
Digital Electronics,What is the output of OR gate with inputs 0 and 1?,0,1,X,Undefined,B
Digital Electronics,Which memory can be erased with UV light?,RAM,ROM,PROM,EPROM,D
Digital Electronics,What is a Karnaugh map used for?,Circuit design,Logic simplification,Memory mapping,Signal processing,B
Digital Electronics,Which logic family has lowest power consumption?,TTL,CMOS,ECL,DTL,B
Digital Electronics,What is the full form of PAL?,Programmable Array Logic,Parallel Access Logic,Primary Array Link,Programmed Automatic Logic,A
Digital Electronics,Which gate is equivalent to inverted AND?,OR,NOR,NAND,XOR,C
Digital Electronics,What is race condition in flip-flops?,Timing issue,Power issue,Logic error,Connection error,A
Digital Electronics,Which counter is self-starting?,Binary Counter,Ring Counter,Johnson Counter,Decade Counter,A
Digital Electronics,What is the modulus of decade counter?,8,10,12,16,B
Digital Electronics,Which device compares two binary numbers?,Adder,Comparator,Encoder,Decoder,B
Digital Electronics,What is setup time?,Time before clock edge,Time after clock edge,Propagation time,Total cycle time,A
Digital Electronics,Which gate gives 1 when inputs differ?,AND,OR,XOR,NAND,C
Digital Electronics,What is the binary equivalent of octal 7?,101,110,111,1000,C
Digital Electronics,Which device has memory capability?,Combinational circuit,Sequential circuit,Logic gate,Buffer,B
Digital Electronics,What does MSB stand for?,Most Significant Bit,Memory Storage Bit,Main System Bit,Multiple Signal Bit,A
Digital Electronics,Which type of ROM is one-time programmable?,PROM,EPROM,EEPROM,Flash,A
Digital Electronics,What is the complement of 1?,0,1,X,Z,A
Digital Electronics,Which circuit has feedback path?,Combinational,Sequential,Decoder,Encoder,B
Digital Electronics,What is the decimal value of binary 1001?,7,8,9,10,C
Digital Electronics,Which gate is used in half adder?,AND and XOR,OR and AND,NAND and NOR,XOR and NAND,A
Digital Electronics,What is Johnson counter also called?,Ring counter,Twisted ring counter,Binary counter,Decade counter,B
Digital Electronics,Which has higher integration?,SSI,MSI,LSI,VLSI,D
Digital Electronics,What is the output of NAND gate with inputs 1 and 1?,0,1,X,Z,A
Digital Electronics,Which memory is non-volatile?,RAM,Cache,ROM,Buffer,C
Digital Electronics,What is the time period of 1 MHz signal?,1 ns,1 μs,1 ms,1 s,B
Linux Administration,Which command displays current directory?,pwd,cd,ls,mkdir,A
Linux Administration,What is the default shell in most Linux distributions?,sh,csh,bash,zsh,C
Linux Administration,Which command changes file permissions?,chown,chmod,chgrp,umask,B
Linux Administration,What does ls -l display?,Hidden files,Long format,Only directories,File size only,B
Linux Administration,Which file contains user account information?,/etc/shadow,/etc/passwd,/etc/group,/etc/hosts,B
Linux Administration,What command shows running processes?,ls,ps,top,who,B
Linux Administration,Which directory contains configuration files?,/bin,/home,/etc,/var,C
Linux Administration,What permission value gives read and write?,6,5,7,4,A
Linux Administration,Which command creates a new directory?,touch,mkdir,rmdir,cp,B
Linux Administration,What does the root user's UID?,0,1,500,1000,A
Linux Administration,Which command searches for files?,find,locate,grep,search,A
Linux Administration,What is the purpose of /tmp directory?,Store logs,Temporary files,User homes,System binaries,B
Linux Administration,Which command displays disk usage?,du,df,ls,pwd,B
Linux Administration,What does chmod 755 mean?,rwxr-xr-x,rwxrwxrwx,rw-r--r--,r-xr-xr-x,A
Linux Administration,Which command edits cron jobs?,vi,crontab,nano,edit,B
Linux Administration,What file contains DNS server information?,/etc/hosts,/etc/hostname,/etc/resolv.conf,/etc/network,C
Linux Administration,Which command shows memory usage?,free,mem,ram,memory,A
Linux Administration,What is the superuser account called?,admin,root,sudo,super,B
Linux Administration,Which command compresses files?,zip,tar,gzip,all of above,D
Linux Administration,What does init 6 do?,Shutdown,Reboot,Single user mode,Halt,B
Linux Administration,Which command displays network interfaces?,ifconfig,netstat,ping,route,A
Linux Administration,What is the default permission for new files?,644,755,777,666,A
Linux Administration,Which command kills a process by PID?,stop,end,kill,terminate,C
Linux Administration,What does /dev directory contain?,Configuration,Device files,Documentation,Development tools,B
Linux Administration,Which command changes file ownership?,chmod,chown,chgrp,usermod,B
Linux Administration,What is the purpose of swap space?,Backup,Virtual memory,File storage,Log files,B
Linux Administration,Which command shows system uptime?,time,date,uptime,runtime,C
Linux Administration,What does grep command do?,Copy files,Search patterns,Delete files,Move files,B
Linux Administration,Which file contains system logs?,/var/log,/etc/log,/home/log,/tmp/log,A
Linux Administration,What command displays last logged in users?,who,last,users,login,B
Linux Administration,Which command mounts filesystems?,mount,attach,link,connect,A
Linux Administration,What is the purpose of sudo?,Switch user,Elevate privileges,Shutdown system,Show disk usage,B
Linux Administration,Which command archives files?,zip,tar,rar,pkg,B
Linux Administration,What does pipe (|) operator do?,Redirect output,Chain commands,Comment,Background process,B
Linux Administration,Which directory contains user home directories?,/usr,/home,/root,/var,B
Linux Administration,What command displays kernel version?,uname,version,kernel,sysinfo,A
Linux Administration,Which service manages system logs?,syslog,logd,logger,syslogd,D
Linux Administration,What does ln command create?,Directory,Symbolic link,File,Partition,B
Linux Administration,Which command shows routing table?,route,traceroute,ping,netstat,A
Linux Administration,What is runlevel 3?,GUI mode,Multi-user text mode,Single user,Reboot,B
Linux Administration,Which command changes user password?,passwd,password,chpasswd,usermod,A
Linux Administration,What does apt-get do?,Edit files,Package management,Show processes,Network config,B
Linux Administration,Which file contains group information?,/etc/passwd,/etc/shadow,/etc/group,/etc/users,C
Linux Administration,What command shows open ports?,lsof,netstat,ps,top,B
Linux Administration,Which command displays file contents?,cat,dog,show,display,A
Linux Administration,What does umask control?,User permissions,Default permissions,File size,Directory structure,B
Linux Administration,Which command modifies user account?,adduser,usermod,deluser,passwd,B
Linux Administration,What is the purpose of inittab file?,Boot configuration,Init process config,Network settings,User accounts,B
Linux Administration,Which command shows file type?,type,file,cat,ls,B
Linux Administration,What does systemctl manage?,Files,Services,Users,Networks,B
Networking,Which layer is responsible for routing in OSI model?,Physical,Data Link,Network,Transport,C
Networking,What is the default subnet mask for Class C network?,255.0.0.0,255.255.0.0,255.255.255.0,255.255.255.255,C
Networking,Which protocol operates at the Transport layer?,IP,ICMP,TCP,ARP,C
Networking,What is the purpose of ARP?,Resolve MAC to IP,Resolve IP to MAC,Route packets,Encrypt data,B
Networking,Which device operates at Layer 2?,Hub,Router,Switch,Repeater,C
Networking,What is the maximum length of UTP cable?,50m,100m,200m,500m,B
Networking,Which protocol is connectionless?,TCP,UDP,FTP,HTTP,B
Networking,What does DHCP stand for?,Dynamic Host Configuration Protocol,Domain Host Control Protocol,Dynamic Hosting Control Program,Digital Host Configuration Protocol,A
Networking,Which port does HTTP use?,21,22,80,443,C
Networking,What is the IPv4 address size?,16 bits,32 bits,64 bits,128 bits,B
Networking,Which topology has a central hub?,Bus,Star,Ring,Mesh,B
Networking,What is the broadcast address for 192.168.1.0/24?,192.168.1.0,192.168.1.255,192.168.1.1,192.168.1.254,B
Networking,Which protocol tests network connectivity?,FTP,ICMP,SMTP,DNS,B
Networking,What does NAT stand for?,Network Address Translation,New Access Technology,Network Authentication Token,Node Address Transfer,A
Networking,Which cable type is immune to EMI?,UTP,STP,Coaxial,Fiber optic,D
Networking,What is the purpose of subnet mask?,Identify network portion,Encrypt data,Route packets,Assign IP addresses,A
Networking,Which protocol provides reliable delivery?,UDP,IP,TCP,ICMP,C
Networking,What is the loopback address?,192.168.1.1,127.0.0.1,10.0.0.1,172.16.0.1,B
Networking,Which device amplifies signals?,Switch,Router,Repeater,Bridge,C
Networking,What does MTU stand for?,Maximum Transmission Unit,Minimum Transfer Unit,Multiple Transport Unit,Media Transfer Utility,A
Networking,Which protocol resolves domain names?,DHCP,DNS,ARP,RARP,B
Networking,What is the size of MAC address?,32 bits,48 bits,64 bits,128 bits,B
Networking,Which layer handles error detection in OSI?,Physical,Data Link,Network,Transport,B
Networking,What is the purpose of default gateway?,Local communication,Internet access,IP assignment,Name resolution,B
Networking,Which protocol uses port 23?,FTP,SSH,Telnet,SMTP,C
Networking,What is CIDR notation for 255.255.255.0?,/16,/24,/32,/8,B
Networking,Which topology is most fault-tolerant?,Bus,Star,Ring,Mesh,D
Networking,What does VLAN stand for?,Virtual Local Area Network,Very Large Access Network,Variable Link Area Network,Visual LAN,A
Networking,Which protocol transfers files securely?,FTP,TFTP,SFTP,HTTP,C
Networking,What is the range of Class A addresses?,1-126,128-191,192-223,224-239,A
Networking,Which command shows IP configuration in Windows?,ipconfig,ifconfig,netstat,nslookup,A
Networking,What does TTL stand for in networking?,Time To Live,Transfer Time Limit,Total Transmission Load,Terminal Transfer Link,A
Networking,Which protocol operates on port 53?,HTTP,FTP,DNS,SMTP,C
Networking,What is the purpose of ICMP?,File transfer,Error reporting,Name resolution,IP assignment,B
Networking,Which device filters traffic based on IP?,Hub,Switch,Router,Repeater,C
Networking,What is half-duplex communication?,One direction only,Both directions simultaneously,Both directions alternately,No communication,C
Networking,Which protocol assigns IP addresses automatically?,DNS,DHCP,ARP,ICMP,B
Networking,What is the IPv6 address size?,32 bits,64 bits,128 bits,256 bits,C
Networking,Which layer provides end-to-end communication?,Network,Transport,Session,Application,B
Networking,What does QoS stand for?,Quality of Service,Quick Operating System,Queue of Signals,Quantity of Storage,A
Networking,Which protocol is used for email retrieval?,SMTP,POP3,FTP,HTTP,B
Networking,What is the purpose of spanning tree protocol?,Prevent loops,Assign IPs,Route packets,Resolve names,A
Networking,Which cable standard supports 10 Gbps?,Cat5,Cat5e,Cat6,Cat6a,D
Networking,What is the range of private IP 10.0.0.0?,/8,/16,/24,/32,A
Networking,Which protocol provides encryption for web traffic?,HTTP,FTP,SSL/TLS,SMTP,C
Networking,What does BGP stand for?,Border Gateway Protocol,Basic Gateway Program,Binary Group Protocol,Broadcast Gateway Path,A
Networking,Which port does FTP use for data transfer?,20,21,22,23,A
Networking,What is the purpose of proxy server?,Encrypt data,Intermediate requests,Assign IPs,Route packets,B
Networking,Which layer handles data compression?,Physical,Presentation,Session,Application,B
Robotics,What does DOF stand for in robotics?,Degree of Freedom,Direction of Force,Distance of Field,Digital Output Function,A
Robotics,Which sensor detects distance?,Accelerometer,Ultrasonic,Gyroscope,Temperature,B
Robotics,What is the brain of a robot?,Actuator,Sensor,Controller,End effector,C
Robotics,Which motor provides precise position control?,DC motor,AC motor,Servo motor,Stepper motor,C
Robotics,What does PWM stand for?,Power Wave Modulation,Pulse Width Modulation,Programmed Wave Motion,Pulse Wire Management,B
Robotics,Which sensor measures rotation?,Ultrasonic,IR sensor,Gyroscope,LDR,C
Robotics,What is an end effector?,Robot brain,Robot gripper,Power supply,Sensor module,B
Robotics,Which law defines robot safety rules?,Newton's Law,Asimov's Laws,Ohm's Law,Moore's Law,B
Robotics,What does LIDAR stand for?,Light Detection and Ranging,Linear Distance and Range,Light Direction and Reflection,Laser Internal Detection Array,A
Robotics,Which programming language is commonly used in ROS?,Java,Python,C#,PHP,B
Robotics,What is inverse kinematics?,Forward motion calculation,Position to joint angles,Speed control,Path planning,B
Robotics,Which component converts electrical to mechanical energy?,Sensor,Actuator,Controller,Transmitter,B
Robotics,What does IMU stand for?,Internal Memory Unit,Inertial Measurement Unit,Integrated Motor Unit,Input Management Utility,B
Robotics,Which robot type moves on wheels?,Humanoid,Mobile,Manipulator,Flying,B
Robotics,What is a servo motor's feedback device?,Encoder,Decoder,Multiplexer,Amplifier,A
Robotics,Which sensor detects light intensity?,Ultrasonic,LDR,Gyroscope,Accelerometer,B
Robotics,What does PID stand for in control systems?,Power Input Device,Proportional Integral Derivative,Program Interface Design,Pulse Integrated Driver,B
Robotics,Which type of robot mimics human form?,Industrial,Humanoid,Mobile,Agricultural,B
Robotics,What is the purpose of a gripper?,Sense objects,Move robot,Hold objects,Process data,C
Robotics,Which protocol is common for robot communication?,HTTP,I2C,FTP,SMTP,B
Robotics,What does ROS stand for?,Robot Operating System,Remote Operation Service,Rotational Output Sensor,Real-time Object Sensing,A
Robotics,Which sensor detects obstacles?,Temperature,Proximity,Humidity,Pressure,B
Robotics,What is forward kinematics?,End position calculation,Joint to position,Speed measurement,Path optimization,B
Robotics,Which motor rotates in discrete steps?,Servo,DC,Stepper,AC,C
Robotics,What is a robotic arm called?,Actuator,Manipulator,Gripper,Controller,B
Robotics,Which sensor measures acceleration?,Ultrasonic,Accelerometer,LDR,IR,B
Robotics,What does AI stand for in robotics?,Automated Intelligence,Artificial Intelligence,Actual Interface,Applied Integration,B
