"problem_id","language","problem_statement","unit_tests","expected_output"
"23","Python","Write a Python function that checks if a number is odd","def test_is_odd():
    assert is_odd(3) == True
    assert is_odd(4) == False
    assert is_odd(0) == False
    assert is_odd(-7) == True","True"
"24","Python","Write a Python function that returns factorial of a number","def test_factorial():
    assert factorial(5) == 120
    assert factorial(0) == 1
    assert factorial(1) == 1
    assert factorial(3) == 6","120"
"25","Python","Write a Python function that counts words in a string","def test_count_words():
    assert count_words('hello world') == 2
    assert count_words('Python') == 1
    assert count_words('') == 0
    assert count_words('one two three') == 3","2"
"26","Python","Write a Python function that replaces spaces with underscores","def test_replace_spaces():
    assert replace_spaces('hello world') == 'hello_world'
    assert replace_spaces('Python is fun') == 'Python_is_fun'
    assert replace_spaces('test') == 'test'
    assert replace_spaces('') == ''","hello_world"
"27","Python","Write a Python function that returns the sum of digits in a number","def test_sum_digits():
    assert sum_digits(123) == 6
    assert sum_digits(0) == 0
    assert sum_digits(99) == 18
    assert sum_digits(5) == 5","6"
"28","Python","Write a Python function that checks if a year is a leap year","def test_is_leap_year():
    assert is_leap_year(2020) == True
    assert is_leap_year(2021) == False
    assert is_leap_year(2000) == True
    assert is_leap_year(1900) == False","True"
"29","Python","Write a Python function that returns every other element from a list","def test_every_other():
    assert every_other([1, 2, 3, 4, 5]) == [1, 3, 5]
    assert every_other([10, 20]) == [10]
    assert every_other([1]) == [1]
    assert every_other([]) == []","[1, 3, 5]"
"30","Python","Write a Python function that checks if a string starts with a given prefix","def test_starts_with():
    assert starts_with('hello', 'he') == True
    assert starts_with('Python', 'Py') == True
    assert starts_with('test', 'te') == True
    assert starts_with('abc', 'xyz') == False","True"
"31","Python","Write a Python function that returns the cube of a number","def test_cube():
    assert cube(3) == 27
    assert cube(0) == 0
    assert cube(-2) == -8
    assert cube(10) == 1000","27"
"32","Python","Write a Python function that converts a list to a string","def test_list_to_string():
    assert list_to_string([1, 2, 3]) == '123'
    assert list_to_string(['a', 'b', 'c']) == 'abc'
    assert list_to_string([]) == ''
    assert list_to_string(['hello']) == 'hello'","123"
"33","Python","Write a Python function that checks if two strings are equal","def test_strings_equal():
    assert strings_equal('hello', 'hello') == True
    assert strings_equal('test', 'Test') == False
    assert strings_equal('', '') == True
    assert strings_equal('a', 'b') == False","True"
"34","Python","Write a Python function that returns the second largest number in a list","def test_second_largest():
    assert second_largest([1, 5, 3, 9, 2]) == 5
    assert second_largest([10, 20, 30]) == 20
    assert second_largest([5, 5, 3]) == 3
    assert second_largest([1, 2]) == 1","5"
"35","Python","Write a Python function that checks if a list contains a specific element","def test_contains_element():
    assert contains_element([1, 2, 3], 2) == True
    assert contains_element([1, 2, 3], 5) == False
    assert contains_element([], 1) == False
    assert contains_element(['a', 'b'], 'a') == True","True"
"36","Python","Write a Python function that returns the middle element of a list","def test_middle_element():
    assert middle_element([1, 2, 3, 4, 5]) == 3
    assert middle_element([10, 20, 30]) == 20
    assert middle_element([5]) == 5
    assert middle_element([1, 2, 3, 4, 5, 6, 7]) == 4","3"
"37","Python","Write a Python function that converts kilometers to miles","def test_km_to_miles():
    assert km_to_miles(10) == 6.21371
    assert km_to_miles(0) == 0
    assert km_to_miles(1) == 0.621371
    assert km_to_miles(100) == 62.1371","6.21371"
"38","Python","Write a Python function that repeats a string n times","def test_repeat_string():
    assert repeat_string('hi', 3) == 'hihihi'
    assert repeat_string('a', 5) == 'aaaaa'
    assert repeat_string('test', 0) == ''
    assert repeat_string('', 3) == ''","hihihi"
"39","Python","Write a Python function that returns common elements between two lists","def test_common_elements():
    assert common_elements([1, 2, 3], [2, 3, 4]) == [2, 3]
    assert common_elements([1, 2], [3, 4]) == []
    assert common_elements([], [1, 2]) == []
    assert common_elements([1, 1, 2], [1, 2]) == [1, 2]","[2, 3]"
"40","Python","Write a Python function that checks if a string ends with a given suffix","def test_ends_with():
    assert ends_with('hello', 'lo') == True
    assert ends_with('Python', 'on') == True
    assert ends_with('test', 'xyz') == False
    assert ends_with('', '') == True","True"
"41","Python","Write a Python function that capitalizes the first letter of a string","def test_capitalize_first():
    assert capitalize_first('hello') == 'Hello'
    assert capitalize_first('python') == 'Python'
    assert capitalize_first('') == ''
    assert capitalize_first('test') == 'Test'","Hello"
"42","Python","Write a Python function that returns the product of two numbers","def test_multiply():
    assert multiply(3, 4) == 12
    assert multiply(0, 5) == 0
    assert multiply(-2, 3) == -6
    assert multiply(10, 10) == 100","12"
"43","Python","Write a Python function that checks if a number is divisible by another","def test_is_divisible():
    assert is_divisible(10, 2) == True
    assert is_divisible(7, 3) == False
    assert is_divisible(0, 5) == True
    assert is_divisible(15, 5) == True","True"
"44","Python","Write a Python function that sorts a list in ascending order","def test_sort_list():
    assert sort_list([3, 1, 4, 2]) == [1, 2, 3, 4]
    assert sort_list([5, 5, 5]) == [5, 5, 5]
    assert sort_list([]) == []
    assert sort_list([1]) == [1]","[1, 2, 3, 4]"
"45","Python","Write a Python function that returns the difference between two numbers","def test_subtract():
    assert subtract(10, 5) == 5
    assert subtract(0, 0) == 0
    assert subtract(-5, -3) == -2
    assert subtract(100, 50) == 50","5"
"46","Python","Write a Python function that converts a string to lowercase","def test_to_lowercase():
    assert to_lowercase('HELLO') == 'hello'
    assert to_lowercase('Python') == 'python'
    assert to_lowercase('') == ''
    assert to_lowercase('TEST') == 'test'","hello"
"47","Python","Write a Python function that returns the remainder of division","def test_modulo():
    assert modulo(10, 3) == 1
    assert modulo(15, 5) == 0
    assert modulo(7, 2) == 1
    assert modulo(20, 6) == 2","1"
"48","Python","Write a Python function that checks if a list is sorted","def test_is_sorted():
    assert is_sorted([1, 2, 3, 4]) == True
    assert is_sorted([1, 3, 2]) == False
    assert is_sorted([]) == True
    assert is_sorted([5]) == True","True"
"49","Python","Write a Python function that returns unique elements from a list","def test_unique_elements():
    assert unique_elements([1, 2, 2, 3, 3, 3]) == [1, 2, 3]
    assert unique_elements([1, 1, 1]) == [1]
    assert unique_elements([]) == []
    assert unique_elements([1, 2, 3]) == [1, 2, 3]","[1, 2, 3]"
"50","Python","Write a Python function that returns the index of an element in a list","def test_find_index():
    assert find_index([1, 2, 3, 4], 3) == 2
    assert find_index(['a', 'b', 'c'], 'b') == 1
    assert find_index([10, 20, 30], 10) == 0
    assert find_index([1, 2, 3], 5) == -1","2"
"51","Python","Write a Python function that swaps two variables","def test_swap():
    assert swap(5, 10) == (10, 5)
    assert swap('a', 'b') == ('b', 'a')
    assert swap(0, 0) == (0, 0)
    assert swap(1, 2) == (2, 1)","(10, 5)"
