Linux Administration,What command searches for files?,find
Linux Administration,What command searches text within files?,grep
Linux Administration,What command displays system information?,uname
Linux Administration,What command shows disk usage?,df
Linux Administration,What command shows directory size?,du
Linux Administration,What command displays network configuration?,ifconfig
Linux Administration,What command tests network connectivity?,ping
Linux Administration,What command shows system uptime?,uptime
Linux Administration,What command creates a new user?,useradd
Linux Administration,What command deletes a user?,userdel
Linux Administration,What command modifies user properties?,usermod
Linux Administration,What command changes user password?,passwd
Linux Administration,What command displays logged-in users?,who
Linux Administration,What command shows command history?,history
Linux Administration,What command compresses files?,tar
Linux Administration,What command downloads files from the internet?,wget
Linux Administration,What command securely copies files between systems?,scp
Linux Administration,What command connects to remote systems securely?,ssh
Linux Administration,What command displays the end of a file?,tail
Linux Administration,What command displays the beginning of a file?,head
Linux Administration,What command edits text files in terminal?,vi or nano
Linux Administration,What command shows available memory?,free
Linux Administration,What command monitors system resources in real-time?,top
Linux Administration,What command schedules recurring tasks?,cron
Linux Administration,What command manually mounts filesystems?,mount
Linux Administration,What command unmounts filesystems?,umount
Linux Administration,What command checks filesystem integrity?,fsck
Linux Administration,What command displays kernel messages?,dmesg
Linux Administration,What command shows network statistics?,netstat
Linux Administration,What command manages system services?,systemctl
Linux Administration,What command displays user groups?,groups
Linux Administration,What command changes to root user?,su
Linux Administration,What command executes commands as another user?,sudo
Linux Administration,What file contains user account information?,/etc/passwd
Linux Administration,What file contains encrypted passwords?,/etc/shadow
Linux Administration,What file contains group information?,/etc/group
Linux Administration,What command creates symbolic links?,ln
Networking,What is the global system of interconnected networks?,Internet
Networking,What protocol is used for web browsing?,HTTP
Networking,What is a unique identifier for network devices?,IP Address
Networking,What device connects multiple networks together?,Router
Networking,What device connects devices within a local network?,Switch
Networking,What is the physical address of a network card?,MAC Address
Networking,What protocol resolves domain names to IP addresses?,DNS
Networking,What is the standard for wireless networking?,WiFi
Networking,What protocol ensures reliable data delivery?,TCP
Networking,What protocol provides faster but unreliable delivery?,UDP
Networking,What is a private network accessible only to authorized users?,Intranet
Networking,What is the range of IP addresses in a network?,Subnet
Networking,What device extends wireless network coverage?,Access Point
Networking,What is the maximum data transfer rate?,Bandwidth
Networking,What is the delay in data transmission?,Latency
Networking,What protocol automatically assigns IP addresses?,DHCP
Networking,What is a network security barrier?,Firewall
Networking,What topology connects all devices to a central hub?,Star Topology
Networking,What topology connects devices in a loop?,Ring Topology
Networking,What topology connects all devices to a single cable?,Bus Topology
Networking,What is a network covering a small geographic area?,LAN
Networking,What is a network covering a large geographic area?,WAN
Networking,What layer of OSI model handles routing?,Network Layer
Networking,What layer of OSI model handles data formatting?,Presentation Layer
Networking,What layer of OSI model handles physical transmission?,Physical Layer
Networking,What is the standard Ethernet cable category?,Cat5e or Cat6
Networking,What protocol transfers files over networks?,FTP
Networking,What protocol sends email?,SMTP
Networking,What protocol retrieves email?,POP3 or IMAP
Networking,What is the secure version of HTTP?,HTTPS
Networking,What port does HTTP use?,80
Networking,What port does HTTPS use?,443
Networking,What port does SSH use?,22
Networking,What port does FTP use?,21
Networking,What device amplifies network signals?,Repeater
Networking,What device filters traffic between networks?,Gateway
Networking,What is simultaneous two-way communication?,Full Duplex
Networking,What is alternating two-way communication?,Half Duplex
Networking,What is the practice of dividing networks into segments?,Subnetting
Networking,What is a network that uses public infrastructure securely?,VPN
Networking,What protocol manages network devices?,SNMP
Networking,What is the addressing scheme using 32 bits?,IPv4
Networking,What is the addressing scheme using 128 bits?,IPv6
Networking,What command tests DNS resolution?,nslookup
Networking,What command traces network route?,traceroute
Networking,What is the maximum transmission unit size?,MTU
Networking,What is collision detection in Ethernet?,CSMA/CD
Networking,What is a broadcast domain boundary?,VLAN
Networking,What protocol synchronizes computer clocks?,NTP
Networking,What is network address translation?,NAT
topic,question,answer
Cybersecurity,What is the practice of protecting systems and networks from digital attacks?,Cybersecurity
Cybersecurity,What type of malicious software encrypts files and demands payment?,Ransomware
Cybersecurity,What is the process of converting data into a coded format?,Encryption
Cybersecurity,What attack floods a network with traffic to make it unavailable?,DDoS Attack
Cybersecurity,What is a secret word or phrase used to authenticate a user?,Password
Cybersecurity,What is software designed to detect and remove malicious programs?,Antivirus
Cybersecurity,What attack tricks users into revealing sensitive information via fake emails?,Phishing
Cybersecurity,What is a network security system that monitors and controls traffic?,Firewall
Cybersecurity,What is unauthorized access to a computer system called?,Hacking
Cybersecurity,What is a weakness in a system that can be exploited?,Vulnerability
Cybersecurity,What authentication method requires two different forms of verification?,Two-Factor Authentication
Cybersecurity,What is malicious software that disguises itself as legitimate?,Trojan Horse
Cybersecurity,What attack involves testing all possible password combinations?,Brute Force Attack
Cybersecurity,What is the practice of creating fake scenarios to manipulate people?,Social Engineering
Cybersecurity,What protocol provides secure communication over networks?,SSL/TLS
Cybersecurity,What is software that secretly monitors user activity?,Spyware
Cybersecurity,What is a simulated cyber attack to test security?,Penetration Testing
Cybersecurity,What is the process of verifying user identity?,Authentication
Cybersecurity,What type of attack injects malicious code into databases?,SQL Injection
Cybersecurity,What is a copy of data stored separately for recovery?,Backup
Cybersecurity,What is an isolated environment for testing suspicious files?,Sandbox
Cybersecurity,What security measure restricts user permissions?,Access Control
Cybersecurity,What is a record of system events and activities?,Audit Log
Cybersecurity,What attack intercepts communication between two parties?,Man-in-the-Middle Attack
Cybersecurity,What is a security flaw unknown to the software vendor?,Zero-Day Vulnerability
Cybersecurity,What network allows secure remote access?,VPN
Cybersecurity,What is unwanted email sent in bulk?,Spam
Cybersecurity,What is the process of scrambling data to prevent unauthorized access?,Hashing
Cybersecurity,What is a string of characters used to encrypt data?,Encryption Key
Cybersecurity,What attack exploits vulnerabilities in web applications?,Cross-Site Scripting
Cybersecurity,What is a security policy that denies all traffic by default?,Whitelist
Cybersecurity,What is the practice of hiding data within other files?,Steganography
Cybersecurity,What is a malicious program that replicates itself?,Virus
Cybersecurity,What framework helps organizations manage security risks?,ISO 27001
Cybersecurity,What is the process of removing sensitive data permanently?,Data Sanitization
Cybersecurity,What attack targets specific individuals or organizations?,Spear Phishing
Cybersecurity,What is a deceptive system designed to lure attackers?,Honeypot
Cybersecurity,What is the principle of granting minimal access rights?,Least Privilege
Cybersecurity,What is a security incident that compromises data?,Data Breach
Cybersecurity,What tool scans networks for security vulnerabilities?,Vulnerability Scanner
Cybersecurity,What is the practice of verifying software authenticity?,Digital Signature
Cybersecurity,What attack overwhelms a single target with traffic?,DoS Attack
Cybersecurity,What is a set of compromised computers controlled remotely?,Botnet
Cybersecurity,What is the process of analyzing security incidents?,Forensics
Cybersecurity,What protocol secures remote command-line access?,SSH
Cybersecurity,What is a policy document outlining security practices?,Security Policy
Cybersecurity,What is malicious code that spreads without user action?,Worm
Cybersecurity,What is the practice of testing security through authorized hacking?,Ethical Hacking
Cybersecurity,What is a unique identifier for verifying digital identity?,Digital Certificate
Cybersecurity,What is the time between vulnerability discovery and patch?,Patch Window
Digital Electronics,What is the number system using only 0 and 1?,Binary
Digital Electronics,What logic gate outputs 1 only when all inputs are 1?,AND Gate
Digital Electronics,What logic gate outputs 1 when at least one input is 1?,OR Gate
Digital Electronics,What logic gate inverts the input signal?,NOT Gate
Digital Electronics,What is the smallest unit of digital information?,Bit
Digital Electronics,What is a group of 8 bits called?,Byte
Digital Electronics,What device stores one bit of information?,Flip-Flop
Digital Electronics,What logic gate outputs 1 when inputs are different?,XOR Gate
Digital Electronics,What is a combination of logic gates called?,Logic Circuit
Digital Electronics,What converts analog signals to digital?,ADC (Analog-to-Digital Converter)
Digital Electronics,What is a circuit whose output depends only on current inputs?,Combinational Circuit
Digital Electronics,What is a circuit that uses memory elements?,Sequential Circuit
Digital Electronics,What device selects one of many input signals?,Multiplexer
Digital Electronics,What device distributes one input to multiple outputs?,Demultiplexer
Digital Electronics,What is the complement of an AND gate?,NAND Gate
Digital Electronics,What is the complement of an OR gate?,NOR Gate
Digital Electronics,What circuit performs arithmetic operations?,Adder
Digital Electronics,What device compares two binary numbers?,Comparator
Digital Electronics,What is a truth table used for?,Showing logic gate outputs for all input combinations
Digital Electronics,What theorem simplifies Boolean expressions?,Boolean Algebra
Digital Electronics,What is the base of the hexadecimal number system?,16
Digital Electronics,What device counts pulses or events?,Counter
Digital Electronics,What stores multiple bits of data temporarily?,Register
Digital Electronics,What is a circuit that generates clock signals?,Oscillator
Digital Electronics,What component switches or amplifies electronic signals?,Transistor
Digital Electronics,What is the time delay in signal propagation?,Propagation Delay
Digital Electronics,What device encodes inputs into binary?,Encoder
Digital Electronics,What device decodes binary into outputs?,Decoder
Digital Electronics,What is the rise and fall time of a signal?,Edge Transition
Digital Electronics,What circuit configuration has two stable states?,Bistable
Digital Electronics,What is unwanted variation in signal levels?,Noise
Digital Electronics,What is the frequency of state changes?,Clock Speed
Digital Electronics,What law states that any Boolean function can be implemented with NAND gates?,NAND Gate Universality
Digital Electronics,What is the process of converting decimal to binary?,Binary Conversion
Digital Electronics,What device temporarily holds data?,Latch
Digital Electronics,What is a half adder upgraded with carry input?,Full Adder
Digital Electronics,What map simplifies Boolean expressions visually?,Karnaugh Map
Digital Electronics,What is the voltage representing logic 1?,High Level
Digital Electronics,What is the voltage representing logic 0?,Low Level
Digital Electronics,What circuit subtracts binary numbers?,Subtractor
Digital Electronics,What is the fan-out of a logic gate?,Maximum number of inputs it can drive
Digital Electronics,What stores large amounts of digital data?,Memory
Digital Electronics,What type of memory loses data when power is off?,Volatile Memory
Digital Electronics,What type of memory retains data without power?,Non-Volatile Memory
Digital Electronics,What is the basic building block of digital circuits?,Logic Gate
Digital Electronics,What is a bistable device triggered by clock pulses?,Flip-Flop
Digital Electronics,What circuit generates a sequence of states?,State Machine
Digital Electronics,What is synchronous operation in digital circuits?,Operations controlled by clock signals
Digital Electronics,What is the metastable state in flip-flops?,Unstable intermediate state
Linux Administration,What command displays the current directory?,pwd
Linux Administration,What command lists files in a directory?,ls
Linux Administration,What command changes directories?,cd
Linux Administration,What command creates a new directory?,mkdir
Linux Administration,What command removes files?,rm
Linux Administration,What command copies files?,cp
Linux Administration,What command moves or renames files?,mv
Linux Administration,What command displays file contents?,cat
Linux Administration,What command shows running processes?,ps
Linux Administration,What command terminates a process?,kill
Linux Administration,What is the root user's home directory?,/root
Linux Administration,What command changes file permissions?,chmod
Linux Administration,What command changes file ownership?,chown
Linux Administration,What command searches for files?,find
Linux Administration,What command searches text within files?,grep
Linux Administration,What command displays system information?,uname
Linux Administration,What command shows disk usage?,df
Linux Administration,What command shows directory size?,du
Linux Administration,What command displays network configuration?,ifconfig
Linux Administration,What command tests network connectivity?,ping
Linux Administration,What command shows system uptime?,uptime
Linux Administration,What command creates a new user?,useradd
Linux Administration,What command deletes a user?,userdel
Linux Administration,What command modifies user properties?,usermod
Linux Administration,What command changes user password?,passwd
Linux Administration,What command displays logged-in users?,who
Linux Administration,What command shows command history?,history
Linux Administration,What command compresses files?,tar
Linux Administration,What command downloads files from the internet?,wget
Linux Administration,What command securely copies files between systems?,scp
Linux Administration,What command connects to remote systems securely?,ssh
Linux Administration,What command displays the end of a file?,tail
Linux Administration,What command displays the beginning of a file?,head
Linux Administration,What command edits text files in terminal?,vi or nano
Linux Administration,What command shows available memory?,free
Linux Administration,What command monitors system resources in real-time?,top
Linux Administration,What command schedules recurring tasks?,cron
Linux Administration,What command manually mounts filesystems?,mount
Linux Administration,What command unmounts filesystems?,umount
Linux Administration,What command checks filesystem integrity?,fsck
Linux Administration,What command displays kernel messages?,dmesg
Linux Administration,What command shows network statistics?,netstat
Linux Administration,What command manages system services?,systemctl
Linux Administration,What command displays user groups?,groups
Linux Administration,What command changes to root user?,su
Linux Administration,What command executes commands as another user?,sudo
Linux Administration,What file contains user account information?,/etc/passwd
Linux Administration,What file contains encrypted passwords?,/etc/shadow
Linux Administration,What file contains group information?,/etc/group
Linux Administration,What command creates symbolic links?,ln
Networking,What is the global system of interconnected networks?,Internet
Networking,What protocol is used for web browsing?,HTTP
Networking,What is a unique identifier for network devices?,IP Address
Networking,What device connects multiple networks together?,Router
Networking,What device connects devices within a local network?,Switch
Networking,What is the physical address of a network card?,MAC Address
Networking,What protocol resolves domain names to IP addresses?,DNS
Networking,What is the standard for wireless networking?,WiFi
Networking,What protocol ensures reliable data delivery?,TCP
Networking,What protocol provides faster but unreliable delivery?,UDP
Networking,What is a private network accessible only to authorized users?,Intranet
Networking,What is the range of IP addresses in a network?,Subnet
Networking,What device extends wireless network coverage?,Access Point
Networking,What is the maximum data transfer rate?,Bandwidth
Networking,What is the delay in data transmission?,Latency
Networking,What protocol automatically assigns IP addresses?,DHCP
Networking,What is a network security barrier?,Firewall
Networking,What topology connects all devices to a central hub?,Star Topology
Networking,What topology connects devices in a loop?,Ring Topology
Networking,What topology connects all devices to a single cable?,Bus Topology
Networking,What is a network covering a small geographic area?,LAN
Networking,What is a network covering a large geographic area?,WAN
Networking,What layer of OSI model handles routing?,Network Layer
Networking,What layer of OSI model handles data formatting?,Presentation Layer
Networking,What layer of OSI model handles physical transmission?,Physical Layer
Networking,What is the standard Ethernet cable category?,Cat5e or Cat6
Networking,What protocol transfers files over networks?,FTP
Networking,What protocol sends email?,SMTP
Networking,What protocol retrieves email?,POP3 or IMAP
Networking,What is the secure version of HTTP?,HTTPS
Networking,What port does HTTP use?,80
Networking,What port does HTTPS use?,443
Networking,What port does SSH use?,22
Networking,What port does FTP use?,21
Networking,What device amplifies network signals?,Repeater
Networking,What device filters traffic between networks?,Gateway
Networking,What is simultaneous two-way communication?,Full Duplex
Networking,What is alternating two-way communication?,Half Duplex
Networking,What is the practice of dividing networks into segments?,Subnetting
Networking,What is a network that uses public infrastructure securely?,VPN
Networking,What protocol manages network devices?,SNMP
Networking,What is the addressing scheme using 32 bits?,IPv4
Networking,What is the addressing scheme using 128 bits?,IPv6
Networking,What command tests DNS resolution?,nslookup
Networking,What command traces network route?,traceroute
Networking,What is the maximum transmission unit size?,MTU
Networking,What is collision detection in Ethernet?,CSMA/CD
Networking,What is a broadcast domain boundary?,VLAN
Networking,What protocol synchronizes computer clocks?,NTP
Networking,What is network address translation?,NAT
Robotics,What is a programmable machine that performs tasks?,Robot
Robotics,What component provides movement in robots?,Actuator
Robotics,What device detects environmental conditions?,Sensor
Robotics,What is the robot's computer system called?,Controller
Robotics,What is the study of robot motion and forces?,Kinematics
Robotics,What is a robot with wheels or tracks?,Mobile Robot
Robotics,What is a stationary robot with a moving arm?,Robotic Arm
Robotics,What programming language is common in robotics?,Python
Robotics,What is the rotating joint in a robot?,Servo Motor
Robotics,What sensor measures distance using sound?,Ultrasonic Sensor
Robotics,What sensor detects motion?,PIR Sensor
Robotics,What component powers the robot?,Battery
Robotics,What is the end tool of a robotic arm?,End Effector
Robotics,What platform is popular for hobby robotics?,Arduino
Robotics,What platform is used for advanced robotics?,Raspberry Pi
Robotics,What is the framework for robot software?,ROS (Robot Operating System)
Robotics,What sensor measures rotation?,Encoder
Robotics,What sensor detects magnetic fields?,Magnetometer
Robotics,What sensor measures acceleration?,Accelerometer
Robotics,What sensor measures angular velocity?,Gyroscope
Robotics,What is autonomous robot navigation?,Path Planning
Robotics,What helps robots understand their position?,Localization
Robotics,What is the coordinate system of a robot?,Reference Frame
Robotics,What type of robot mimics human form?,Humanoid Robot
Robotics,What algorithm helps robots avoid obstacles?,Obstacle Avoidance
Robotics,What is the robot's ability to learn?,Machine Learning
Robotics,What sensor captures visual information?,Camera
Robotics,What is the process of teaching robots?,Programming
Robotics,What type of motor provides precise control?,Stepper Motor
Robotics,What is continuous motor rotation?,DC Motor
Robotics,What controls motor speed?,PWM (Pulse Width Modulation)
Robotics,What is the workspace of a robotic arm?,Reach
Robotics,What is robot hand-like tool?,Gripper
Robotics,What connects sensors and actuators?,Microcontroller
Robotics,What is wireless robot control?,Remote Control
Robotics,What helps robots interact with humans?,Human-Robot Interface
Robotics,What field combines AI and robotics?,Intelligent Robotics
Robotics,What is the ability to sense and respond?,Feedback Loop
Robotics,What is multi-robot coordination?,Swarm Robotics
Robotics,What sensor detects light intensity?,Photoresistor
Robotics,What sensor measures temperature?,Thermistor
Robotics,What is the study of robot structure?,Morphology
Robotics,What protocol communicates with motors?,I2C or SPI
Robotics,What is simulated robot environment?,Simulation
Robotics,What is robot vision processing?,Computer Vision
Robotics,What helps robots grasp objects?,Force Sensor
Robotics,What is the robot's movement speed?,Velocity
Robotics,What is rapid robot movement?,Acceleration
Robotics,What maintains robot balance?,Stabilization
Robotics,What is automated robot operation?,Autonomous Mode
Robotics,What is human-controlled operation?,Manual Mode
Android App Development,What is the official IDE for Android development?,Android Studio
Android App Development,What programming language is native to Android?,Kotlin
Android App Development,What is the user interface layout file format?,XML
Android App Development,What component represents a screen in Android?,Activity
Android App Development,What component runs in the background?,Service
Android App Development,What stores app configuration and permissions?,Manifest File
Android App Development,What is the build automation tool for Android?,Gradle
Android App Development,What component displays notifications?,Notification
Android App Development,What component responds to system events?,Broadcast Receiver
Android App Development,What manages app data access?,Content Provider
Android App Development,What is a reusable UI component?,Fragment
Android App Development,What layout arranges views linearly?,LinearLayout
Android App Development,What layout positions views relatively?,RelativeLayout
Android App Development,What layout uses constraints?,ConstraintLayout
Android App Development,What displays a list of scrollable items?,RecyclerView
Android App Development,What handles user interactions?,Event Listener
Android App Development,What displays clickable text and images?,Button
Android App Development,What accepts user text input?,EditText
Android App Development,What displays text to users?,TextView
Android App Development,What is the Android package file extension?,APK
Android App Development,What library handles network requests?,Retrofit
Android App Development,What library loads images efficiently?,Glide or Picasso
Android App Development,What pattern separates UI from logic?,MVVM
Android App Development,What manages UI-related data?,ViewModel
Android App Development,What observes data changes?,LiveData
Android App Development,What database is built into Android?,SQLite
Android App Development,What library simplifies database operations?,Room
Android App Development,What handles asynchronous operations?,Coroutines
Android App Development,What defines app navigation?,Intent
Android App Development,What stores small key-value data?,SharedPreferences
Android App Development,What displays short messages?,Toast
Android App Development,What shows a dialog box?,AlertDialog
Android App Development,What is Android's app lifecycle method?,onCreate
Android App Development,What method initializes UI?,onStart
Android App Development,What method runs when app is visible?,onResume
Android App Development,What handles menu selections?,onOptionsItemSelected
Android App Development,What requests user permissions?,Runtime Permissions
Android App Development,What provides material design components?,Material Design Library
Android App Development,What tests app functionality?,JUnit
Android App Development,What tests UI components?,Espresso
Android App Development,What displays progress?,ProgressBar
Android App Development,What shows web content?,WebView
Android App Development,What handles JSON parsing?,Gson
Android App Development,What manages dependency injection?,Dagger or Hilt
Android App Development,What signs the app for release?,Keystore
Android App Development,What platform distributes Android apps?,Google Play Store
Android App Development,What enables offline functionality?,Caching
Android App Development,What provides location services?,GPS
Android App Development,What handles push notifications?,Firebase Cloud Messaging
Android App Development,What is the minimum API level?,minSdkVersion
Database,What is an organized collection of data?,Database
Database,What is a row in a database table?,Record
Database,What is a column in a database table?,Field
